0 8 7 6 2 1 3 4 5 | 3 7733
0 8 7 6 1 2 3 4 5 | 4 5334
0 8 7 5 6 4 3 2 1 | 3 17388
0 8 7 5 6 4 3 1 2 | 3 7852
0 8 7 5 6 4 2 3 1 | 3 14802
0 8 7 5 6 4 1 3 2 | 3 10372
0 8 7 5 6 4 2 1 3 | 3 27166
0 8 7 5 6 4 1 2 3 | 4 5634
0 8 7 5 6 3 4 2 1 | 4 5394
0 8 7 5 6 3 4 1 2 | 3 6072
0 8 7 5 6 2 4 3 1 | 3 10372
0 8 7 5 6 1 4 3 2 | 4 5589
0 8 7 5 6 2 4 1 3 | 4 5394
0 8 7 5 6 1 4 2 3 | 3 17806
0 8 7 5 6 3 2 4 1 | 3 7252
0 8 7 5 6 3 1 4 2 | 4 5346
0 8 7 5 6 2 3 4 1 | 4 5346
0 8 7 5 6 1 3 4 2 | 4 5469
0 8 7 5 6 2 1 4 3 | 4 5724
0 8 7 5 6 1 2 4 3 | 3 26725
0 8 7 5 6 3 2 1 4 | 4 5364
0 8 7 5 6 3 1 2 4 | 3 15411
0 8 7 5 6 2 3 1 4 | 4 5340
0 8 7 5 6 1 3 2 4 | 4 5463
0 8 7 5 6 2 1 3 4 | 3 13188
0 8 7 5 6 1 2 3 4 | 4 5484
0 8 7 4 6 5 3 2 1 | 4 5516
0 8 7 4 6 5 3 1 2 | 3 19843
0 8 7 4 6 5 2 3 1 | 3 10372
0 8 7 4 6 5 1 3 2 | 4 5612
0 8 7 4 6 5 2 1 3 | 3 12104
0 8 7 4 6 5 1 2 3 | 3 19476
0 8 7 3 6 5 4 2 1 | 4 5155
0 8 7 3 6 5 4 1 2 | 4 5131
0 8 7 2 6 5 4 3 1 | 4 5131
0 8 7 1 6 5 4 3 2 | 4 5539
0 8 7 2 6 5 4 1 3 | 3 8048
0 8 7 1 6 5 4 2 3 | 4 5617
0 8 7 3 6 5 2 4 1 | 3 9517
0 8 7 3 6 5 1 4 2 | 3 33339
0 8 7 2 6 5 3 4 1 | 3 7930
0 8 7 1 6 5 3 4 2 | 4 5714
0 8 7 2 6 5 1 4 3 | 4 5150
0 8 7 1 6 5 2 4 3 | 4 5498
0 8 7 3 6 5 2 1 4 | 4 5125
0 8 7 3 6 5 1 2 4 | 3 11702
0 8 7 2 6 5 3 1 4 | 3 12760
0 8 7 1 6 5 3 2 4 | 3 19476
0 8 7 2 6 5 1 3 4 | 4 5125
0 8 7 1 6 5 2 3 4 | 3 6277
0 8 7 4 6 3 5 2 1 | 4 5396
0 8 7 4 6 3 5 1 2 | 4 5375
0 8 7 4 6 2 5 3 1 | 3 6390
0 8 7 4 6 1 5 3 2 | 3 15750
0 8 7 4 6 2 5 1 3 | 2 40319
0 8 7 4 6 1 5 2 3 | 3 6264
0 8 7 3 6 4 5 2 1 | 3 7733
0 8 7 3 6 4 5 1 2 | 4 5130
0 8 7 2 6 4 5 3 1 | 4 5130
0 8 7 1 6 4 5 3 2 | 4 5538
0 8 7 2 6 4 5 1 3 | 3 7273
0 8 7 1 6 4 5 2 3 | 3 12104
0 8 7 3 6 2 5 4 1 | 4 5144
0 8 7 3 6 1 5 4 2 | 3 12760
0 8 7 2 6 3 5 4 1 | 4 5084
0 8 7 1 6 3 5 4 2 | 3 13188
0 8 7 2 6 1 5 4 3 | 3 8048
0 8 7 1 6 2 5 4 3 | 3 8545
0 8 7 3 6 2 5 1 4 | 3 11720
0 8 7 3 6 1 5 2 4 | 4 5077
0 8 7 2 6 3 5 1 4 | 3 12891
0 8 7 1 6 3 5 2 4 | 3 23116
0 8 7 2 6 1 5 3 4 | 3 6390
0 8 7 1 6 2 5 3 4 | 3 23081
0 8 7 4 6 3 2 5 1 | 3 17341
0 8 7 4 6 3 1 5 2 | 3 9517
0 8 7 4 6 2 3 5 1 | 3 23081
0 8 7 4 6 1 3 5 2 | 3 8048
0 8 7 4 6 2 1 5 3 | 4 5726
0 8 7 4 6 1 2 5 3 | 4 5705
0 8 7 3 6 4 2 5 1 | 4 5418
0 8 7 3 6 4 1 5 2 | 3 23081
0 8 7 2 6 4 3 5 1 | 3 27465
0 8 7 1 6 4 3 5 2 | 3 18098
0 8 7 2 6 4 1 5 3 | 4 5712
0 8 7 1 6 4 2 5 3 | 3 12733
0 8 7 3 6 2 4 5 1 | 3 18098
0 8 7 3 6 1 4 5 2 | 4 5086
0 8 7 2 6 3 4 5 1 | 3 27971
0 8 7 1 6 3 4 5 2 | 4 5298
0 8 7 2 6 1 4 5 3 | 3 27469
0 8 7 1 6 2 4 5 3 | 3 6390
0 8 7 3 6 2 1 5 4 | 4 5095
0 8 7 3 6 1 2 5 4 | 3 12760
0 8 7 2 6 3 1 5 4 | 4 5071
0 8 7 1 6 3 2 5 4 | 3 9517
0 8 7 2 6 1 3 5 4 | 4 5095
0 8 7 1 6 2 3 5 4 | 4 5330
0 8 7 4 6 3 2 1 5 | 3 6277
0 8 7 4 6 3 1 2 5 | 3 15637
0 8 7 4 6 2 3 1 5 | 3 7412
0 8 7 4 6 1 3 2 5 | 4 5609
0 8 7 4 6 2 1 3 5 | 3 24517
0 8 7 4 6 1 2 3 5 | 3 18523
0 8 7 3 6 4 2 1 5 | 3 18642
0 8 7 3 6 4 1 2 5 | 4 5100
0 8 7 2 6 4 3 1 5 | 4 5100
0 8 7 1 6 4 3 2 5 | 4 5412
0 8 7 2 6 4 1 3 5 | 3 17341
0 8 7 1 6 4 2 3 5 | 3 6066
0 8 7 3 6 2 4 1 5 | 3 17361
